frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd1000_xw5000,0.000001,1000.000000,1000.000000,5000.000000,robz_w200,48000,240000,64,0.250000,52,0.870000,12,11,6,16,15,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd200_xw2000,0.000000,200.000000,200.000000,2000.000000,robz_w200,48000,240000,63,0.166700,55,1.380000,8,11,13,16,12,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd200_xw5000,0.000000,200.000000,200.000000,5000.000000,robz_w200,48000,240000,70,0.166700,62,1.550000,8,12,8,22,15,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd500_xw2000,0.000000,200.000000,500.000000,2000.000000,robz_w200,48000,240000,61,0.166700,53,1.320000,8,10,12,16,12,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd500_xw5000,0.000000,200.000000,500.000000,5000.000000,robz_w200,48000,240000,64,0.166700,56,1.400000,8,11,7,20,13,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd1000_xw2000,0.000000,200.000000,1000.000000,2000.000000,robz_w200,48000,240000,45,0.125000,39,1.300000,6,8,9,11,9,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd1000_xw5000,0.000000,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,49,0.125000,43,1.430000,6,7,6,14,11,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd200_xw2000,0.000000,400.000000,200.000000,2000.000000,robz_w200,48000,240000,63,0.166700,55,1.380000,8,11,13,16,12,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd200_xw5000,0.000000,400.000000,200.000000,5000.000000,robz_w200,48000,240000,70,0.166700,62,1.550000,8,12,8,22,15,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd500_xw2000,0.000000,400.000000,500.000000,2000.000000,robz_w200,48000,240000,61,0.166700,53,1.320000,8,10,12,16,12,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd500_xw5000,0.000000,400.000000,500.000000,5000.000000,robz_w200,48000,240000,64,0.166700,56,1.400000,8,11,7,20,13,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd1000_xw2000,0.000000,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,45,0.125000,39,1.300000,6,8,9,11,9,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd1000_xw5000,0.000000,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,49,0.125000,43,1.430000,6,7,6,14,11,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd200_xw2000,0.000000,600.000000,200.000000,2000.000000,robz_w200,48000,240000,62,0.187500,53,1.180000,9,11,9,16,14,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd200_xw5000,0.000000,600.000000,200.000000,5000.000000,robz_w200,48000,240000,64,0.250000,52,0.870000,12,13,8,13,16,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd500_xw2000,0.000000,600.000000,500.000000,2000.000000,robz_w200,48000,240000,62,0.187500,53,1.180000,9,11,9,16,14,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd500_xw5000,0.000000,600.000000,500.000000,5000.000000,robz_w200,48000,240000,64,0.250000,52,0.870000,12,13,8,13,16,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd1000_xw2000,0.000000,600.000000,1000.000000,2000.000000,robz_w200,48000,240000,48,0.187500,39,0.870000,9,7,6,12,11,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd1000_xw5000,0.000000,600.000000,1000.000000,5000.000000,robz_w200,48000,240000,48,0.208300,38,0.760000,10,9,6,9,12,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd200_xw2000,0.000000,1000.000000,200.000000,2000.000000,robz_w200,48000,240000,41,0.166700,33,0.820000,8,9,4,11,8,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd200_xw5000,0.000000,1000.000000,200.000000,5000.000000,robz_w200,48000,240000,51,0.187500,42,0.930000,9,10,6,11,11,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd500_xw2000,0.000000,1000.000000,500.000000,2000.000000,robz_w200,48000,240000,41,0.166700,33,0.820000,8,9,4,11,8,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd500_xw5000,0.000000,1000.000000,500.000000,5000.000000,robz_w200,48000,240000,51,0.187500,42,0.930000,9,10,6,11,11,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd1000_xw2000,0.000000,1000.000000,1000.000000,2000.000000,robz_w200,48000,240000,41,0.166700,33,0.820000,8,9,4,11,8,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd1000_xw5000,0.000000,1000.000000,1000.000000,5000.000000,robz_w200,48000,240000,51,0.187500,42,0.930000,9,10,6,11,11,4,,,,,,
B,Seq2Seq,PH,B_N50_K5_d0.5,,,,,window_agg,960,4800,51,8.333300,43,1.070000,8,18,3,9,6,7,50.000000,5.000000,0.500000,,,
B,Seq2Seq,PH,B_N50_K5_d1.0,,,,,window_agg,960,4800,39,6.250000,33,1.100000,6,18,3,4,5,3,50.000000,5.000000,1.000000,,,
B,Seq2Seq,PH,B_N50_K5_d2.0,,,,,window_agg,960,4800,25,5.208300,20,0.800000,5,16,1,1,2,0,50.000000,5.000000,2.000000,,,
